Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
8.340001,-88.053967,-0.000186,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027586,-0.000003
8.345001,-88.053968,-0.000186,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027587,-0.000003
8.350001,-88.053968,-0.000186,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027587,-0.000003
8.355001,-88.053969,-0.000186,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027587,-0.000003
8.360001,-88.053970,-0.000186,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027587,-0.000003
8.365001,-88.053971,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027587,-0.000003
8.370001,-88.053972,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027587,-0.000003
8.375001,-88.053973,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027588,-0.000003
8.380001,-88.053974,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027588,-0.000003
8.385001,-88.053975,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027588,-0.000003
8.390001,-88.053976,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027588,-0.000003
8.395001,-88.053977,-0.000185,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027588,-0.000003
8.400001,-88.053978,-0.000184,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027588,-0.000003
8.405001,-88.053979,-0.000184,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027589,-0.000003
8.410001,-88.053980,-0.000184,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027589,-0.000003
8.415001,-88.053980,-0.000184,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027589,-0.000003
8.420001,-88.053981,-0.000184,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027589,-0.000003
8.425001,-88.053982,-0.000184,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027589,-0.000003
8.430001,-88.053983,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027589,-0.000003
8.435001,-88.053984,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027590,-0.000003
8.440001,-88.053985,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027590,-0.000003
8.445001,-88.053986,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027590,-0.000003
8.450001,-88.053987,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027590,-0.000003
8.455001,-88.053988,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027590,-0.000003
8.460001,-88.053989,-0.000183,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027590,-0.000003
8.465001,-88.053990,-0.000182,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027591,-0.000003
8.470001,-88.053991,-0.000182,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027591,-0.000003
8.475001,-88.053991,-0.000182,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027591,-0.000003
8.480001,-88.053992,-0.000182,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027591,-0.000003
8.485001,-88.053993,-0.000182,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027591,-0.000003
8.490001,-88.053994,-0.000182,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027591,-0.000003
8.495001,-88.053995,-0.000181,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027592,-0.000003
8.500001,-88.053996,-0.000181,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027592,-0.000003
8.505001,-88.053997,-0.000181,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027592,-0.000003
8.510001,-88.053998,-0.000181,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027592,-0.000003
8.515001,-88.053999,-0.000181,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027592,-0.000003
8.520001,-88.054000,-0.000181,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027592,-0.000003
8.525001,-88.054000,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.530001,-88.054001,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.535001,-88.054002,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.540001,-88.054003,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.545001,-88.054004,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.550001,-88.054005,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.555001,-88.054006,-0.000180,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027593,-0.000003
8.560001,-88.054007,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027594,-0.000003
8.565001,-88.054008,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027594,-0.000003
8.570001,-88.054009,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027594,-0.000003
8.575001,-88.054009,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027594,-0.000003
8.580001,-88.054010,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027594,-0.000003
8.585001,-88.054011,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027594,-0.000003
